Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
75;2020-05-23;1227;202;5326;1663;11;FRA;Île-de-France;Paris;Tous;48.8557954256,2.34411308321;12;2;3;52
75;2020-05-24;1221;202;5332;1666;11;FRA;Île-de-France;Paris;Tous;48.8557954256,2.34411308321;4;3;3;6
95;2020-05-25;296;19;1275;418;11;FRA;Île-de-France;Val-d'Oise;Homme;49.0821697186,2.12479545535;;;;
95;2020-05-26;283;11;933;246;11;FRA;Île-de-France;Val-d'Oise;Femme;49.0821697186,2.12479545535;;;;
93;2020-05-29;942;89;3220;948;11;FRA;Île-de-France;Seine-Saint-Denis;Tous;48.9083101579,2.48332622588;4;0;2;56
91;2020-05-30;312;38;1075;282;11;FRA;Île-de-France;Essonne;Homme;48.5174587303,2.24865517666;;;;
95;2020-06-04;522;24;2309;683;11;FRA;Île-de-France;Val-d'Oise;Tous;49.0821697186,2.12479545535;3;0;0;11
94;2020-06-05;499;14;1686;471;11;FRA;Île-de-France;Val-de-Marne;Femme;48.7692936982,2.47462077077;;;;
95;2020-06-05;501;22;2326;684;11;FRA;Île-de-France;Val-d'Oise;Tous;49.0821697186,2.12479545535;2;1;1;17
95;2020-06-05;244;8;983;254;11;FRA;Île-de-France;Val-d'Oise;Femme;49.0821697186,2.12479545535;;;;
91;2020-06-06;615;52;2052;506;11;FRA;Île-de-France;Essonne;Tous;48.5174587303,2.24865517666;2;0;1;3
75;2020-06-07;454;98;3217;1071;11;FRA;Île-de-France;Paris;Homme;48.8557954256,2.34411308321;;;;
92;2020-06-08;924;69;4040;1054;11;FRA;Île-de-France;Hauts-de-Seine;Tous;48.8488903633,2.25051074841;5;0;3;14
93;2020-06-08;421;46;1853;589;11;FRA;Île-de-France;Seine-Saint-Denis;Homme;48.9083101579,2.48332622588;;;;
95;2020-06-08;490;19;2346;686;11;FRA;Île-de-France;Val-d'Oise;Tous;49.0821697186,2.12479545535;6;0;2;10
92;2020-06-09;907;73;4080;1056;11;FRA;Île-de-France;Hauts-de-Seine;Tous;48.8488903633,2.25051074841;23;3;2;40
77;2020-06-10;179;32;1378;402;11;FRA;Île-de-France;Seine-et-Marne;Homme;48.6281210472,2.93531969909;;;;
93;2020-06-13;785;77;3458;969;11;FRA;Île-de-France;Seine-Saint-Denis;Tous;48.9083101579,2.48332622588;1;0;1;12
